"Transaction ID",Item,Quantity,"Price Per Unit","Total Spent","Payment Method",Location,"Transaction Date",row_num
TXN_1133945,Smoothie,2,4,8.0,"Digital Wallet",In-store,2023-10-23,1
TXN_1142233,Tea,5,1.5,7.5,"Digital Wallet",Takeaway,2023-09-01,1
TXN_1145592,Juice,1,3,3.0,"Credit Card",Takeaway,2023-09-11,1
TXN_1148874,Cookie,1,1,1.0,"Credit Card",In-store,2023-09-18,1
TXN_1150033,Juice,5,3,15.0,Cash,In-store,2023-04-18,1
TXN_1151605,Coffee,1,2,2.0,"Digital Wallet",Takeaway,2023-05-02,1
TXN_1153869,Smoothie,5,4,20.0,"Credit Card",Takeaway,2023-11-03,1
TXN_1154979,Coffee,3,2,6.0,"Credit Card",In-store,2023-12-11,1
TXN_1157817,Smoothie,1,4,4.0,"Digital Wallet",In-store,2023-04-25,1
TXN_1161606,Sandwich,5,4,20.0,"Credit Card",Takeaway,2023-09-20,1
TXN_1165779,Cookie,4,1,4.0,"Digital Wallet",Takeaway,2023-06-30,1
TXN_1169615,Smoothie,5,4,20.0,"Digital Wallet",In-store,2023-03-16,1
TXN_1170198,Tea,4,1.5,6.0,"Credit Card",In-store,2023-02-09,1
TXN_1172121,Coffee,5,2,10.0,Cash,Takeaway,2023-08-26,1
TXN_1173155,Coffee,1,2,2.0,Cash,In-store,2023-03-14,1
TXN_1180397,Smoothie,3,4,12.0,"Credit Card",Takeaway,2023-04-05,1
TXN_1180969,Cookie,1,1,ERROR,"Digital Wallet",In-store,2023-01-06,1
TXN_1183995,Salad,5,5,25.0,"Digital Wallet",Takeaway,2023-03-28,1
TXN_1185003,ERROR,5,3,15.0,Cash,Takeaway,2023-01-06,1
TXN_1186221,Salad,4,5,20.0,Cash,Takeaway,2023-04-21,1
TXN_1190402,Cake,1,3,3.0,"Credit Card",Takeaway,2023-12-01,1
TXN_1191659,Coffee,4,2,ERROR,"Credit Card",In-store,2023-11-21,1
TXN_1192970,Coffee,2,2,4.0,"Digital Wallet",Takeaway,2023-06-17,1
TXN_1193221,Tea,3,1.5,4.5,"Credit Card",In-store,2023-10-21,1
TXN_1196223,Juice,3,3,9.0,"Digital Wallet",In-store,2023-10-14,1
TXN_1196324,Tea,4,1.5,6.0,"Credit Card",In-store,2023-09-26,1
TXN_1203191,Coffee,5,2,10.0,ERROR,In-store,2023-10-12,1
TXN_1208926,Cookie,4,1,4.0,"Credit Card",In-store,2023-12-07,1
TXN_1209852,Cookie,2,1,2.0,"Credit Card",In-store,2023-11-18,1
TXN_1210183,Tea,3,1.5,4.5,ERROR,In-store,2023-01-23,1
TXN_1213938,Salad,5,5,25.0,"Digital Wallet",Takeaway,2023-07-06,1
TXN_1216051,Cake,4,3,12.0,"Digital Wallet",Takeaway,2023-10-28,1
TXN_1217959,Juice,2,3,6.0,"Digital Wallet",Takeaway,2023-07-28,1
TXN_1220061,Sandwich,3,4,12.0,"Digital Wallet",In-store,2023-09-03,1
TXN_1221777,Coffee,3,2,6.0,ERROR,In-store,2023-01-29,1
TXN_1224087,Coffee,5,2,10.0,"Digital Wallet",Takeaway,2023-03-20,1
TXN_1225638,Cake,4,3,12.0,Cash,Takeaway,2023-05-28,1
TXN_1227800,Juice,3,3,9.0,Cash,Takeaway,2023-02-19,1
TXN_1228888,Cookie,1,1,1.0,"Credit Card",In-store,2023-10-05,1
TXN_1229376,Cake,3,3,9.0,"Digital Wallet",In-store,2023-08-14,1
TXN_1231366,Sandwich,3,4,12.0,"Digital Wallet",Takeaway,2023-11-28,1
TXN_1231531,Coffee,5,2,10.0,"Digital Wallet",In-store,2023-07-24,1
TXN_1232346,Salad,5,5,25.0,"Digital Wallet",In-store,2023-01-04,1
TXN_1234390,Cake,2,3,6.0,"Digital Wallet",Takeaway,2023-06-02,1
TXN_1234907,Juice,1,3,3.0,"Credit Card",In-store,2023-05-02,1
TXN_1235828,Tea,4,1.5,6.0,Cash,Takeaway,2023-02-19,1
TXN_1236759,Coffee,1,2,2.0,"Credit Card",In-store,2023-01-26,1
TXN_1240476,Juice,2,3,6.0,"Digital Wallet",Takeaway,2023-04-20,1
TXN_1244299,Sandwich,2,4,8.0,Cash,Takeaway,2023-07-18,1
TXN_1244509,Smoothie,3,4,12.0,"Credit Card",In-store,2023-02-21,1
TXN_1244739,Salad,2,5,10.0,"Credit Card",Takeaway,2023-09-13,1
TXN_1247244,Sandwich,1,4,4.0,"Digital Wallet",In-store,2023-12-27,1
TXN_1248266,Salad,3,5,15.0,"Credit Card",In-store,2023-10-14,1
TXN_1248436,Cake,4,3,12.0,"Credit Card",Takeaway,2023-08-14,1
TXN_1250407,Cookie,1,1,1.0,"Credit Card",Takeaway,2023-11-21,1
TXN_1252575,Tea,1,1.5,1.5,"Digital Wallet",Takeaway,2023-10-16,1
TXN_1256513,Coffee,4,2,8.0,"Credit Card",In-store,2023-02-21,1
TXN_1256536,Salad,1,5,5.0,ERROR,Takeaway,2023-12-16,1
TXN_1260517,Smoothie,5,4,20.0,"Digital Wallet",Takeaway,2023-04-17,1
TXN_1261028,Juice,3,3,9.0,ERROR,In-store,2023-10-27,1
TXN_1268480,Salad,5,5,25.0,Cash,In-store,2023-04-18,1
TXN_1269252,Cake,1,3,3.0,"Digital Wallet",Takeaway,2023-07-18,1
TXN_1270603,Juice,4,3,12.0,"Credit Card",Takeaway,2023-12-03,1
TXN_1272118,Cookie,4,1,4.0,"Credit Card",Takeaway,2023-04-21,1
TXN_1278539,Tea,1,1.5,1.5,"Credit Card",Takeaway,2023-04-04,1
TXN_1281536,Smoothie,5,4,20.0,"Digital Wallet",In-store,2023-03-19,1
TXN_1283149,Salad,2,5,10.0,"Credit Card",In-store,2023-01-23,1
TXN_1285279,Coffee,2,2,4.0,Cash,Takeaway,2023-04-09,1
TXN_1292430,Smoothie,1,4,4.0,"Credit Card",Takeaway,2023-03-09,1
TXN_1292476,Juice,4,3,12.0,"Digital Wallet",Takeaway,2023-09-07,1
TXN_1294101,Tea,5,1.5,7.5,"Digital Wallet",Takeaway,2023-03-31,1
TXN_1298084,UNKNOWN,2,1.5,3.0,"Credit Card",Takeaway,2023-01-02,1
TXN_1307239,Coffee,1,2,2.0,"Digital Wallet",Takeaway,2023-10-26,1
TXN_1309055,UNKNOWN,2,2,4.0,"Credit Card",Takeaway,2023-11-09,1
TXN_1315214,Tea,2,1.5,3.0,"Digital Wallet",In-store,2023-11-03,1
TXN_1315847,Cake,1,3,3.0,"Digital Wallet",In-store,2023-06-19,1
TXN_1316036,ERROR,2,3,6.0,Cash,Takeaway,2023-10-27,1
TXN_1317114,Cookie,2,1,2.0,"Digital Wallet",Takeaway,2023-11-06,1
TXN_1318238,Sandwich,1,4,UNKNOWN,"Digital Wallet",Takeaway,2023-09-23,1
TXN_1318943,UNKNOWN,2,2,UNKNOWN,Cash,In-store,2023-06-13,1
TXN_1322421,Juice,4,3,12.0,"Credit Card",Takeaway,2023-03-05,1
TXN_1324760,Tea,4,1.5,6.0,Cash,In-store,2023-01-18,1
TXN_1324930,Sandwich,5,4,UNKNOWN,"Credit Card",Takeaway,2023-01-11,1
TXN_1324968,Cookie,3,1,3.0,"Credit Card",In-store,2023-01-05,1
TXN_1334406,Juice,1,3,3.0,"Digital Wallet",In-store,2023-09-26,1
TXN_1335337,Tea,3,1.5,4.5,"Credit Card",In-store,2023-09-06,1
TXN_1336900,Coffee,5,2,10.0,"Credit Card",ERROR,2023-01-16,1
TXN_1339457,ERROR,3,4,ERROR,"Digital Wallet",In-store,2023-05-23,1
TXN_1340358,Sandwich,3,4,12.0,Cash,Takeaway,2023-06-09,1
TXN_1342359,Cake,4,3,12.0,Cash,Takeaway,2023-07-14,1
TXN_1343750,Cookie,2,1,2.0,"Digital Wallet",Takeaway,2023-02-15,1
TXN_1346517,Coffee,1,2,2.0,"Digital Wallet",Takeaway,2023-03-20,1
TXN_1349640,Juice,2,3,6.0,"Credit Card",In-store,2023-06-17,1
TXN_1349738,Sandwich,3,4,ERROR,Cash,ERROR,2023-03-26,1
TXN_1353266,Smoothie,1,4,4.0,"Digital Wallet",Takeaway,2023-08-30,1
TXN_1354464,Cake,5,3,15.0,"Digital Wallet",In-store,2023-03-18,1
TXN_1356599,Cookie,2,1,2.0,Cash,Takeaway,2023-12-14,1
TXN_1360998,Cookie,2,1,2.0,Cash,Takeaway,2023-07-30,1
TXN_1364211,Salad,2,5,10.0,ERROR,In-store,2023-03-08,1
TXN_1367003,Salad,5,5,25.0,Cash,In-store,2023-11-10,1
TXN_1367723,Coffee,3,2,,Cash,In-store,2023-10-25,1
TXN_1368769,Cookie,3,1,3.0,"Credit Card",Takeaway,2023-06-02,1
TXN_1372003,Tea,4,1.5,6.0,"Digital Wallet",Takeaway,2023-10-13,1
TXN_1372492,Salad,4,5,20.0,Cash,Takeaway,2023-03-28,1
TXN_1375992,Coffee,5,2,10.0,"Credit Card",In-store,2023-03-23,1
TXN_1380601,Tea,4,1.5,6.0,"Digital Wallet",In-store,2023-03-11,1
TXN_1387401,Cookie,4,1,4.0,Cash,In-store,2023-10-19,1
TXN_1388606,Cake,3,3,9.0,"Digital Wallet",Takeaway,2023-08-31,1
TXN_1389258,Salad,1,5,5.0,Cash,Takeaway,2023-12-31,1
TXN_1395083,Juice,1,3,3.0,Cash,In-store,2023-07-08,1
TXN_1396019,Coffee,4,2,8.0,Cash,In-store,2023-12-03,1
TXN_1398769,Smoothie,1,4,4.0,Cash,In-store,2023-06-02,1
TXN_1399696,Cake,5,3,15.0,Cash,In-store,2023-04-08,1
TXN_1402641,Tea,3,1.5,ERROR,"Credit Card",Takeaway,2023-09-12,1
TXN_1408709,Smoothie,5,4,20.0,Cash,Takeaway,2023-04-14,1
TXN_1410102,Salad,1,5,5.0,Cash,In-store,2023-06-23,1
TXN_1411473,Coffee,3,2,6.0,"Credit Card",In-store,2023-01-04,1
TXN_1411744,Smoothie,4,4,16.0,"Credit Card",Takeaway,2023-09-17,1
TXN_1412415,Juice,3,3,9.0,Cash,In-store,2023-02-24,1
TXN_1413335,Salad,1,5,5.0,"Digital Wallet",Takeaway,2023-05-17,1
TXN_1417291,Juice,4,3,12.0,"Digital Wallet",In-store,2023-05-11,1
TXN_1417400,Cookie,2,1,2.0,Cash,In-store,2023-03-20,1
TXN_1417871,Salad,3,5,15.0,Cash,Takeaway,2023-03-12,1
TXN_1419669,Cake,5,3,15.0,Cash,Takeaway,2023-03-07,1
TXN_1425215,Juice,1,3,3.0,Cash,Takeaway,2023-03-13,1
TXN_1429325,Smoothie,2,4,8.0,Cash,ERROR,2023-04-20,1
TXN_1429858,Cookie,4,1,4.0,"Credit Card",ERROR,2023-03-15,1
TXN_1434598,Sandwich,5,4,20.0,Cash,Takeaway,2023-11-18,1
TXN_1434857,Cake,5,3,15.0,ERROR,In-store,2023-01-13,1
TXN_1436343,Cookie,1,1,1.0,"Credit Card",In-store,2023-11-26,1
TXN_1436851,Sandwich,5,4,20.0,Cash,Takeaway,2023-07-28,1
TXN_1437083,Smoothie,2,4,8.0,"Credit Card",In-store,2023-03-15,1
TXN_1438257,Salad,4,5,20.0,"Credit Card",Takeaway,2023-06-13,1
TXN_1442096,Cookie,3,1,3.0,"Credit Card",In-store,2023-06-27,1
TXN_1443201,Cookie,5,1,5.0,"Credit Card",In-store,2023-10-03,1
TXN_1443928,Cake,4,3,12.0,Cash,Takeaway,2023-12-03,1
TXN_1444932,Smoothie,1,4,4.0,Cash,In-store,2023-05-24,1
TXN_1445532,Coffee,3,2,6.0,Cash,Takeaway,2023-03-03,1
TXN_1448501,Cake,4,3,12.0,"Credit Card",Takeaway,2023-09-10,1
TXN_1454467,Juice,3,3,9.0,Cash,In-store,2023-03-15,1
TXN_1458905,Sandwich,1,4,4.0,"Digital Wallet",Takeaway,2023-02-19,1
TXN_1460963,Coffee,3,2,6.0,Cash,In-store,2023-02-10,1
TXN_1461221,Salad,2,5,10.0,Cash,In-store,2023-04-30,1
TXN_1464150,Coffee,5,2,10.0,Cash,Takeaway,2023-02-14,1
TXN_1465584,Sandwich,1,4,4.0,"Credit Card",In-store,2023-04-29,1
TXN_1469462,Cake,1,3,3.0,"Credit Card",Takeaway,2023-09-05,1
TXN_1472433,ERROR,1,2,2.0,"Digital Wallet",Takeaway,2023-04-05,1
TXN_1474329,Smoothie,2,4,8.0,"Digital Wallet",Takeaway,2023-03-02,1
TXN_1476066,Smoothie,2,4,8.0,ERROR,Takeaway,2023-10-19,1
TXN_1477525,Salad,3,5,15.0,Cash,Takeaway,2023-11-06,1
TXN_1481116,Tea,2,1.5,3.0,"Digital Wallet",In-store,2023-02-26,1
TXN_1482123,Coffee,1,2,2.0,Cash,In-store,2023-06-17,1
TXN_1488481,Coffee,4,2,8.0,"Credit Card",Takeaway,2023-07-28,1
TXN_1489194,Coffee,3,2,6.0,"Digital Wallet",Takeaway,2023-07-18,1
TXN_1489746,Cookie,3,1,3.0,"Digital Wallet",In-store,2023-12-18,1
TXN_1491299,Juice,2,3,6.0,"Credit Card",In-store,2023-02-27,1
TXN_1491670,Juice,5,3,15.0,"Credit Card",Takeaway,2023-06-28,1
TXN_1494608,Tea,3,1.5,4.5,"Credit Card",In-store,2023-05-07,1
TXN_1495371,Sandwich,2,4,ERROR,"Credit Card",Takeaway,2023-07-21,1
TXN_1498343,Salad,2,5,10.0,"Credit Card",Takeaway,2023-03-31,1
TXN_1503903,Tea,1,1.5,1.5,Cash,Takeaway,2023-03-20,1
TXN_1505837,Sandwich,3,4,12.0,"Credit Card",In-store,2023-12-15,1
TXN_1505875,Smoothie,4,4,16.0,Cash,Takeaway,2023-05-17,1
TXN_1512118,Salad,4,5,20.0,Cash,In-store,2023-03-01,1
TXN_1512159,Cake,2,3,6.0,"Credit Card",In-store,2023-11-25,1
TXN_1512185,Coffee,4,2,8.0,Cash,Takeaway,2023-06-16,1
TXN_1514364,Coffee,5,2,10.0,"Digital Wallet",In-store,2023-01-21,1
TXN_1516961,Sandwich,3,4,12.0,"Credit Card",Takeaway,2023-11-01,1
TXN_1521861,ERROR,5,3,15.0,Cash,In-store,2023-04-02,1
TXN_1522122,Cookie,5,1,5.0,"Credit Card",In-store,2023-02-14,1
TXN_1523567,Salad,3,5,UNKNOWN,"Digital Wallet",Takeaway,2023-11-22,1
TXN_1524602,UNKNOWN,3,2,6.0,Cash,Takeaway,2023-05-11,1
TXN_1526864,Smoothie,3,4,12.0,"Digital Wallet",In-store,2023-01-27,1
TXN_1529845,Juice,3,3,9.0,"Credit Card",In-store,2023-01-25,1
TXN_1532390,Tea,5,1.5,7.5,"Digital Wallet",ERROR,2023-04-08,1
TXN_1533652,Tea,3,1.5,4.5,Cash,In-store,2023-08-17,1
TXN_1534763,Cookie,2,1,2.0,Cash,Takeaway,2023-09-17,1
TXN_1542042,Cake,4,3,12.0,"Credit Card",Takeaway,2023-07-26,1
TXN_1547704,Coffee,5,2,10.0,Cash,In-store,2023-02-14,1
TXN_1556046,Sandwich,4,4,16.0,"Credit Card",Takeaway,2023-04-09,1
TXN_1556652,Cake,5,3,15.0,"Digital Wallet",ERROR,2023-04-06,1
TXN_1556708,Smoothie,1,4,4.0,"Digital Wallet",Takeaway,2023-06-11,1
TXN_1564506,Smoothie,5,4,20.0,"Digital Wallet",In-store,2023-02-01,1
TXN_1564754,Salad,3,5,15.0,"Digital Wallet",In-store,2023-03-14,1
TXN_1566564,Cookie,3,1,3.0,"Credit Card",Takeaway,2023-09-08,1
TXN_1569729,Smoothie,5,4,20.0,Cash,Takeaway,2023-07-16,1
TXN_1570573,Sandwich,3,4,12.0,"Digital Wallet",Takeaway,2023-04-09,1
TXN_1571824,Cookie,4,1,4.0,Cash,Takeaway,2023-10-16,1
TXN_1571874,Cake,1,3,3.0,"Digital Wallet",ERROR,2023-07-10,1
TXN_1576076,Coffee,3,2,6.0,Cash,Takeaway,2023-10-07,1
TXN_1577802,Juice,2,3,6.0,"Credit Card",In-store,2023-11-29,1
TXN_1578981,Cake,1,3,3.0,Cash,In-store,2023-05-15,1
TXN_1579182,Juice,5,3,15.0,Cash,In-store,2023-02-20,1
TXN_1581562,Coffee,2,2,4.0,Cash,In-store,2023-01-01,1
TXN_1583597,Salad,1,5,5.0,Cash,In-store,2023-05-10,1
TXN_1585827,Cake,3,3,9.0,"Credit Card",In-store,2023-09-30,1
TXN_1586452,Salad,2,5,ERROR,Cash,In-store,2023-02-01,1
TXN_1588687,Coffee,2,2,4.0,"Digital Wallet",Takeaway,2023-08-22,1
TXN_1591640,Cake,2,3,6.0,Cash,In-store,2023-05-26,1
TXN_1599516,Juice,3,3,9.0,Cash,In-store,2023-05-11,1
TXN_1602435,Smoothie,1,4,4.0,Cash,ERROR,2023-12-01,1
TXN_1602799,Cake,4,3,12.0,"Digital Wallet",Takeaway,2023-03-23,1
TXN_1603051,ERROR,4,1,4.0,"Credit Card",Takeaway,2023-03-21,1
TXN_1603186,Cake,3,3,,Cash,Takeaway,2023-10-13,1
TXN_1605048,Cake,4,3,12.0,Cash,Takeaway,2023-03-16,1
TXN_1606273,Coffee,1,2,2.0,"Digital Wallet",Takeaway,2023-11-02,1
TXN_1607471,Sandwich,2,4,8.0,"Credit Card",Takeaway,2023-01-03,1
TXN_1610137,Coffee,3,2,6.0,Cash,Takeaway,2023-04-02,1
TXN_1617029,UNKNOWN,4,5,20.0,Cash,Takeaway,2023-05-15,1
TXN_1617476,Cake,2,3,6.0,"Digital Wallet",In-store,2023-02-10,1
TXN_1622123,Cookie,2,1,2.0,Cash,Takeaway,2023-01-05,1
TXN_1625754,Cake,5,3,15.0,"Digital Wallet",In-store,2023-08-03,1
TXN_1630051,Smoothie,5,4,20.0,"Digital Wallet",Takeaway,2023-03-17,1
TXN_1632205,Cookie,4,1,4.0,ERROR,In-store,2023-02-04,1
TXN_1633563,ERROR,4,4,16.0,"Digital Wallet",In-store,2023-02-05,1
TXN_1633607,Juice,1,3,3.0,Cash,Takeaway,2023-03-13,1
TXN_1637334,ERROR,2,1.5,3.0,"Credit Card",In-store,2023-08-09,1
TXN_1643870,Salad,4,5,20.0,"Digital Wallet",Takeaway,2023-10-07,1
TXN_1645743,Cookie,4,1,4.0,"Digital Wallet",Takeaway,2023-07-02,1
TXN_1647069,Sandwich,1,4,4.0,"Credit Card",Takeaway,2023-04-06,1
TXN_1648671,Sandwich,3,4,12.0,Cash,Takeaway,2023-05-21,1
TXN_1655100,Cake,4,3,12.0,"Credit Card",Takeaway,2023-12-20,1
TXN_1660104,Smoothie,2,4,8.0,"Credit Card",Takeaway,2023-02-04,1
TXN_1660757,Cake,4,3,12.0,"Digital Wallet",Takeaway,2023-11-08,1
TXN_1661068,Salad,3,5,15.0,Cash,Takeaway,2023-04-09,1
TXN_1663113,Smoothie,4,4,16.0,"Credit Card",Takeaway,2023-12-24,1
TXN_1663257,Juice,3,3,9.0,"Credit Card",ERROR,2023-04-23,1
TXN_1664665,ERROR,3,3,9.0,"Credit Card",In-store,2023-05-21,1
TXN_1665810,Sandwich,5,4,20.0,"Digital Wallet",In-store,2023-02-26,1
TXN_1670597,Coffee,2,2,4.0,Cash,Takeaway,2023-05-21,1
TXN_1672443,Coffee,1,2,2.0,"Credit Card",Takeaway,2023-10-03,1
TXN_1678985,Juice,2,3,6.0,Cash,In-store,2023-07-16,1
TXN_1679800,Smoothie,4,4,16.0,Cash,In-store,2023-10-17,1
TXN_1681153,Juice,3,3,9.0,Cash,Takeaway,2023-02-09,1
TXN_1686323,Smoothie,4,4,16.0,"Digital Wallet",In-store,2023-11-30,1
TXN_1689024,Coffee,5,2,ERROR,"Credit Card",In-store,2023-04-17,1
TXN_1691313,Sandwich,2,4,8.0,"Digital Wallet",Takeaway,2023-03-17,1
TXN_1696300,Cookie,1,1,1.0,"Digital Wallet",In-store,2023-05-28,1
TXN_1696813,Cookie,3,1,3.0,Cash,In-store,2023-04-02,1
TXN_1697018,Juice,4,3,12.0,"Digital Wallet",In-store,2023-07-02,1
TXN_1697299,Smoothie,3,4,12.0,Cash,In-store,2023-10-08,1
TXN_1698600,Salad,4,5,20.0,Cash,Takeaway,2023-07-31,1
TXN_1700027,Smoothie,4,4,16.0,"Digital Wallet",In-store,2023-06-04,1
TXN_1701500,Smoothie,1,4,4.0,ERROR,Takeaway,2023-01-05,1
TXN_1701798,Coffee,2,2,4.0,Cash,Takeaway,2023-07-24,1
TXN_1702437,Smoothie,4,4,16.0,"Credit Card",Takeaway,2023-06-27,1
TXN_1706201,Coffee,3,2,6.0,"Credit Card",In-store,2023-08-23,1
TXN_1707251,Sandwich,2,4,8.0,"Digital Wallet",Takeaway,2023-10-06,1
TXN_1707537,Cake,3,3,ERROR,"Digital Wallet",Takeaway,2023-10-17,1
TXN_1710476,Juice,4,3,12.0,"Digital Wallet",Takeaway,2023-05-22,1
TXN_1713983,Salad,2,5,10.0,Cash,In-store,2023-05-11,1
TXN_1714348,Sandwich,2,4,8.0,Cash,Takeaway,2023-12-31,1
TXN_1714471,Juice,4,3,12.0,Cash,Takeaway,2023-08-17,1
TXN_1715317,UNKNOWN,5,3,15.0,"Digital Wallet",In-store,2023-02-10,1
TXN_1719440,Cookie,5,1,5.0,"Digital Wallet",Takeaway,2023-07-13,1
TXN_1720238,Salad,5,5,25.0,ERROR,Takeaway,2023-05-08,1
TXN_1721342,Smoothie,5,4,20.0,"Digital Wallet",In-store,2023-08-23,1
TXN_1721366,Smoothie,5,4,20.0,"Digital Wallet",In-store,2023-04-09,1
TXN_1721827,Cake,4,3,12.0,"Digital Wallet",ERROR,2023-08-22,1
TXN_1723062,Salad,1,5,5.0,ERROR,In-store,2023-09-21,1
TXN_1724233,Cookie,5,1,5.0,"Digital Wallet",Takeaway,2023-02-01,1
TXN_1728644,Coffee,1,2,2.0,Cash,Takeaway,2023-04-07,1
TXN_1730647,Juice,5,3,15.0,"Digital Wallet",In-store,2023-01-18,1
TXN_1730850,Juice,2,3,6.0,Cash,Takeaway,2023-12-15,1
TXN_1731476,Sandwich,1,4,4.0,"Digital Wallet",Takeaway,2023-04-19,1
TXN_1732216,Coffee,3,2,6.0,"Digital Wallet",Takeaway,2023-08-30,1
TXN_1733916,Sandwich,4,4,16.0,"Digital Wallet",In-store,2023-01-12,1
TXN_1738607,Juice,2,3,6.0,"Credit Card",In-store,2023-01-17,1
TXN_1740742,Tea,4,1.5,6.0,"Digital Wallet",In-store,2023-10-06,1
TXN_1741325,Tea,2,1.5,3.0,"Credit Card",In-store,2023-03-31,1
TXN_1749105,Sandwich,5,4,20.0,Cash,In-store,2023-10-17,1
TXN_1755817,Salad,5,5,25.0,"Digital Wallet",Takeaway,2023-07-17,1
TXN_1757340,Cake,2,3,6.0,"Credit Card",In-store,2023-12-29,1
TXN_1758689,Smoothie,3,4,12.0,Cash,ERROR,2023-02-17,1
TXN_1759063,Cookie,2,1,2.0,"Digital Wallet",Takeaway,2023-09-09,1
TXN_1760092,Coffee,1,2,2.0,"Credit Card",Takeaway,2023-04-15,1
TXN_1765281,Smoothie,3,4,12.0,"Credit Card",In-store,2023-01-28,1
TXN_1767872,Salad,2,5,10.0,"Credit Card",In-store,2023-01-05,1
TXN_1769466,UNKNOWN,5,2,10.0,"Digital Wallet",Takeaway,2023-08-01,1
TXN_1773873,Salad,5,5,25.0,"Credit Card",Takeaway,2023-06-10,1
